DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS,Título del vídeo,Impresiones
,721,204,225054,33924187,8404,267,196,517,,260529
2024-04-09,273,32,60797,5698441,3236,158,66,241,Mejor teléfono Android para Gamers #unboxing #gaming #marvel #tecnologia #apple #samsung    #shorts,4612
2024-10-22,39,7,29169,1160588,1226,13,2,32,Campero no se lo esperaba en Call of duty #callofduty #mw3 #cod #modernwarefare #warzone,3267
2024-03-29,17,0,6472,418374,259,11,3,17,XIAOMI 14 ULTRA #xiaomi #apple #samsung #tecnologia @xiaomi #shorts   #smartphone #informática,5488
2024-04-16,10,1,6847,275872,110,8,1,9,Lo mejor que vas a ver hoy #automobile #informática #tecnologia #robot #tecnologia #shorts #coches,255
2024-03-14,18,0,3536,252234,97,8,5,18,ROBOT SUPERA LOS  LIMITES DE LA INTELIGENCIA #tecnologia #shorts #inteligenciaartificial #openai,4002
2024-03-28,1,0,657,3886,32,6,2,1,ROBOT DE MERCEDES BENZ CON  INTELIGENCIA #tecnologia #shorts #inteligenciaartificial #openai,1965
2024-03-25,23,0,5178,430719,194,5,2,23,APPLE SE A FILTRADO EN IPHONE 16 #apple #tecnologia #iphone  #informática #shorts #samsung,4599
2024-04-09,3,0,1372,-336266,45,5,4,3,Como Usuarios de Mac ven  Windows #apple #mackbook #tecnologia #iphone #samsung #informatica @Apple,2954
2024-10-17,6,0,5542,296278,164,5,6,6,ROG SERVER EL MEJOR MOVIL ACTUAL  #rog #smartphone #unboxing #rogphone #gaming #tech #rogphone7,915
2024-03-20,1,0,201,313015,11,4,0,1,Samsung humilla a Apple #apple #samsung #tecnologia #informática #shorts #viral  #iphone  #galaxy,1262
2024-10-18,4,0,4997,278939,232,4,24,4,En que estarán pensando en la NASA? #spacex #booster #nasa,670
2024-04-19,57,4,20771,1070397,643,3,4,53,Samsung tiene la mejor pantalla #samsung #galaxys23ultra #tecnologia #humor #cortos #iphone #shorts,759
2024-10-17,11,0,927,4356368,13,3,0,11,#Parte2  100H Estudiando Estructura de datos y Algoritmos. ¿Cuál es la mejor opción para mi carrera?,29584
2023-10-23,1,0,16,867,3,3,1,1,#short #marketingonline #paginaweb #linoela #seo  #inspiracion #frases #exito #fitness #web #viral,99
2024-03-17,16,1,11030,797913,198,3,7,15,Apple es destronado por Samsung  #tecnologia #apple #informática #samsung #iphone #galaxy,991
2024-10-19,8,0,2046,12102373,26,3,0,8,#Parte3  100H Estudiando Estructura de datos y Algoritmos. ¿Cuál es la mejor opción para mi carrera?,98669
2024-03-11,5,0,3090,189439,83,3,3,5,APPLE POSIBLEMENTE ABANDONA EUROPA #viral #apple #tecnologia #informática #samsung #actualidad,729
2024-03-17,2,0,593,3979,18,3,1,2,Nuevo MacBook de Apple #tecnologia #apple #new #informática,1176
2023-03-21,0,0,75,2948,4,2,0,0,Python Explorando areas,171
2024-03-12,28,0,2788,140361,85,2,5,28,APPLE APUNTO DE SER DESTRONADO POR SAMSUNG #apple #samsung #informática #tecnologia #shorts #short,415
2024-10-18,7,0,255,330102,13,2,0,7,100H Estudiando Estructura de datos y Algoritmos. ¿Cuál es la mejor opción para mi carrera?,9113
2023-10-22,0,0,15,1787,2,1,0,0,Top lenguajes de programación 👨🏽‍💻 en en el 2023,124
2024-10-13,0,0,1103,-183229,30,1,2,0,"No más Call Of Duty, no tiene sentido  #warzone #COD #callofduty",269
2024-03-18,13,0,5385,342044,150,1,3,13,Cancelan los Apple Car || Like y Síguenos para mas noticias #tecnologia #informática #apple #coches,535
